date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH
2015-06-11,175.58944702148438,100.9566421508789,25.607892990112305,81.4880142211914,113.26000213623047,15.023427963256836,20.809829711914062,73.46277618408203
2015-06-12,174.24530029296875,100.12800598144531,25.389442443847656,81.4412612915039,113.2300033569336,14.871248245239258,20.793119430541992,73.44673156738281
2015-06-15,173.49859619140625,99.63078308105469,25.318111419677734,81.63601684570312,113.7300033569336,14.80361270904541,20.776411056518555,73.46277618408203
2015-06-16,174.4444580078125,100.17402648925781,25.429567337036133,81.94754791259766,113.31999969482422,14.845884323120117,20.81818389892578,73.43067169189453
2015-06-17,174.72659301757812,100.45024108886719,25.451854705810547,81.99433135986328,113.8499984741211,14.888154983520508,20.6343936920166,73.46277618408203
2015-06-18,176.5436248779297,101.91419982910156,25.812973022460938,81.93203735351562,115.31999969482422,14.888154983520508,20.567564010620117,73.43067169189453
2015-06-19,175.7598419189453,101.41030883789062,25.719348907470703,82.36820983886719,115.12000274658203,14.752887725830078,20.61768341064453,73.43067169189453
2015-06-22,176.6603240966797,102.15782928466797,25.9422550201416,81.67497253417969,113.63999938964844,14.80361270904541,20.659456253051758,73.44673156738281
2015-06-23,176.785400390625,102.24087524414062,25.817426681518555,81.42567443847656,112.88999938964844,14.98115348815918,20.90172576904297,73.43067169189453
2015-06-24,175.50144958496094,101.71485137939453,25.616809844970703,81.66716003417969,112.58999633789062,14.879700660705566,20.859949111938477,73.43067169189453
2015-06-25,174.96780395507812,101.5118408203125,25.67477035522461,81.46465301513672,112.44000244140625,14.896611213684082,20.8265380859375,73.44673156738281
2015-06-26,174.9344940185547,100.83814239501953,24.92578887939453,81.07518768310547,112.55999755859375,14.964245796203613,20.885013580322266,73.43067169189453
2015-06-29,171.26605224609375,98.4572525024414,24.21247673034668,82.01771545410156,113.06999969482422,14.896611213684082,20.7680606842041,73.44673156738281
2015-06-30,171.6245574951172,98.80794525146484,24.328388214111328,81.79178619384766,112.37000274658203,15.217878341674805,20.910076141357422,73.44673156738281
2015-07-01,173.00018310546875,99.59234619140625,24.422012329101562,81.36431121826172,111.9800033569336,15.031880378723145,21.07715606689453,73.44673156738281
2015-07-02,172.84176635742188,99.6199951171875,24.573591232299805,81.65296173095703,111.76000213623047,15.006519317626953,21.027034759521484,73.44673156738281
2015-07-06,172.34986877441406,99.3892822265625,24.17681312561035,82.230224609375,112.05999755859375,14.516162872314453,21.068801879882812,73.44673156738281
2015-07-07,173.4337615966797,99.63848876953125,24.056440353393555,82.44862365722656,110.76000213623047,14.431620597839355,21.13563346862793,73.43067169189453
2015-07-08,170.5240020751953,97.903564453125,23.427837371826172,82.7762680053711,111.08999633789062,14.363983154296875,21.052095413208008,73.43067169189453
2015-07-09,170.83248901367188,97.84815979003906,23.1648006439209,82.19895935058594,111.36000061035156,14.533073425292969,21.118928909301758,73.43067169189453
2015-07-10,172.98355102539062,99.34318542480469,23.583873748779297,81.6295166015625,111.48999786376953,14.600708961486816,20.968557357788086,73.43067169189453
2015-07-13,174.89285278320312,101.08731842041016,23.78894805908203,81.41108703613281,110.98999786376953,14.609162330627441,21.177406311035156,73.43067169189453
2015-07-14,175.65151977539062,101.75176239013672,23.980655670166016,81.66854858398438,110.73999786376953,14.55843448638916,21.14398765563965,73.44673156738281
2015-07-15,175.5930633544922,101.86251831054688,23.860280990600586,81.9805679321289,110.16000366210938,14.389347076416016,21.235881805419922,73.43067169189453
2015-07-16,177.00216674804688,103.30213928222656,23.84690284729004,81.94937133789062,109.76000213623047,14.3217134475708,21.352842330932617,73.43067169189453
2015-07-17,177.1522674560547,104.82479858398438,23.833526611328125,81.95716094970703,108.6500015258789,14.245624542236328,21.40296173095703,73.44673156738281
2015-07-20,177.2439422607422,105.18470001220703,23.64182472229004,81.79332733154297,105.69999694824219,14.017356872558594,21.41131591796875,73.43067169189453
2015-07-21,176.54364013671875,105.1201171875,23.623994827270508,82.01954650878906,105.37000274658203,14.07653522491455,21.26094627380371,73.44673156738281
2015-07-22,176.22669982910156,103.9296646118164,23.048885345458984,82.12100219726562,104.80000305175781,13.873631477355957,21.311067581176758,73.43067169189453
2015-07-23,175.2346649169922,103.54206085205078,23.369876861572266,82.45645141601562,104.33000183105469,13.755269050598145,21.227529525756836,73.43067169189453
2015-07-24,173.41709899902344,102.52696228027344,22.830434799194336,82.53446197509766,105.3499984741211,13.64536190032959,21.26094627380371,73.44673156738281
2015-07-27,172.4082794189453,101.67792510986328,22.741268157958984,82.8074951171875,104.86000061035156,13.383277893066406,21.09386444091797,73.43067169189453
