date,SPX,BOND,GOLD,OIL,USD,CASH
2008-06-03,98.84468078613281,56.909671783447266,86.87999725341797,33.392364501953125,18.919952392578125,73.00850677490234
2008-06-04,98.79454803466797,56.70265579223633,86.6500015258789,32.892974853515625,18.969741821289062,72.99259185791016
2008-06-05,100.7701644897461,56.405155181884766,86.44999694824219,34.141441345214844,18.878459930419922,72.94479370117188
2008-06-06,97.55620574951172,56.89678192138672,89.05999755859375,35.0153694152832,18.662708282470703,72.96073150634766
2008-06-09,97.79241180419922,56.48924255371094,87.98999786376953,35.37326431274414,18.820371627807617,72.99259185791016
2008-06-10,97.30567932128906,56.15286636352539,85.55000305175781,35.23176956176758,19.019533157348633,73.04043579101562
2008-06-11,95.87407684326172,56.211090087890625,87.0199966430664,36.53017807006836,18.89505958557129,73.08818054199219
2008-06-12,96.23916625976562,55.719478607177734,85.5999984741211,36.521854400634766,19.052724838256836,73.04043579101562
2008-06-13,97.45601654052734,55.59012222290039,85.83000183105469,36.28881072998047,19.077619552612305,73.08818054199219
2008-06-16,97.51327514648438,55.59658432006836,87.01000213623047,36.255516052246094,18.99463653564453,73.08818054199219
2008-06-17,97.04084014892578,55.784149169921875,87.25,36.62173080444336,18.953144073486328,73.07225799560547
2008-06-18,96.09603118896484,56.088191986083984,88.27999877929688,37.12112045288086,18.936546325683594,73.10409545898438
2008-06-19,96.21768188476562,55.76475524902344,88.41999816894531,36.255516052246094,18.953144073486328,73.08818054199219
2008-06-20,94.65592193603516,56.02348709106445,88.94999694824219,36.50520706176758,18.82867431640625,73.12004089355469
2008-06-23,94.56243133544922,55.99762725830078,87.08999633789062,36.763221740722656,18.936546325683594,73.12004089355469
2008-06-24,94.37535858154297,56.29520797729492,87.47000122070312,36.77155303955078,18.886762619018555,73.12004089355469
2008-06-25,94.82135772705078,56.28871154785156,87.41999816894531,36.63005447387695,18.795480728149414,73.13594055175781
2008-06-26,92.2459945678711,56.605628967285156,90.61000061035156,37.84523391723633,18.679304122924805,73.13594055175781
2008-06-27,91.74241638183594,56.88382339477539,91.47000122070312,37.94511032104492,18.621217727661133,73.16783905029297
2008-06-30,92.06615447998047,56.92265319824219,91.4000015258789,37.270938873291016,18.662708282470703,73.12004089355469
